#{"t_start": 1746461822.5355563, "env_id": "gymnasium_env/BallBeamWorld-v0"}
r,l,t
-78.323833,257,378.96483
-158.874808,261,379.583893
-138.754,244,380.180815
-134.400346,233,380.775059
-135.726114,233,381.358411
635.240105,273,381.980375
636.786236,273,382.633552
578.425108,276,383.247382
623.357707,279,383.866508
643.219183,274,384.685633
590.582491,270,385.302199
565.027817,269,385.916985
472.427424,278,386.537076
585.948514,268,387.149791
-89.953598,261,387.751817
486.743745,283,388.879446
502.05975,277,389.506373
541.551911,267,390.311197
573.497827,264,390.920882
12.606417,234,391.311715
-140.075335,213,391.875536
15.914625,234,392.463628
12.060415,247,393.065134
-62.757191,207,393.430096
-61.298723,220,394.012908
-23.420487,232,394.598633
-78.26332,218,395.170325
-92.009679,221,395.552663
-38.178095,218,396.142439
677.73225,280,396.777558
-36.977767,229,397.353522
627.771859,273,397.972963
523.228788,265,398.586917
589.749513,269,399.207189
-69.993164,263,399.816638
3.376605,259,400.426958
644.355319,282,401.249225
592.31882,279,401.893825
556.426042,270,402.584186
653.349391,278,403.230026
661.477168,285,403.853967
-115.058641,222,404.428918
621.41676,273,405.046944
609.185867,283,405.670592
570.883885,278,406.482998
598.825965,271,407.103932
-191.789815,215,407.480407
555.378606,269,408.093665
533.004098,269,408.900299
-181.941297,213,409.277754
597.53109,281,409.90455
609.746691,280,410.717611
634.168606,274,411.339321
25.771937,267,411.958877
585.608426,268,413.098693
596.585407,276,413.717511
-179.337212,214,414.285135
-90.068994,224,414.86586
-30.819285,245,415.267933
591.479277,278,416.075979
573.719778,275,416.692131
558.614937,273,417.317211
-170.149879,214,417.892597
588.693527,265,418.502011
584.997335,274,419.123282
608.099892,279,419.739631
-108.596807,246,420.334704
-109.420103,265,420.94266
-79.127818,252,421.559596
4.59661,251,422.155931
662.667464,278,422.769673
26.395681,248,423.36734
621.667873,280,423.986511
556.289113,268,424.604
618.087545,273,425.215792
539.718437,268,426.013642
594.305445,270,426.620294
-58.186598,191,426.976608
1.856444,223,427.626059
0.608273,231,428.205161
-76.911178,189,428.561665
-105.880163,193,429.115909
-159.959181,188,429.46203
-140.576269,248,430.055126
628.324081,279,430.665648
-134.560769,193,431.210855
-117.233038,249,431.806854
-55.854425,253,432.403181
-88.283528,247,432.991719
591.649756,279,433.609901
-145.771526,239,434.199672
-71.348199,224,434.5804
664.904474,281,435.406698
-161.693719,201,435.767341
570.386237,268,436.857326
634.423546,272,437.476177
610.391696,269,438.096817
621.66889,272,438.916933
-165.898888,199,439.290433
625.433862,272,439.919528
640.99233,274,440.551296
641.88225,277,441.372139
632.322952,272,441.999397
-207.526842,191,442.361553
631.327811,272,442.998461
-23.384565,238,443.587452
567.295664,271,444.244213
625.97214,283,445.063476
620.587092,284,445.687913
-54.648166,266,446.307312
20.091857,253,446.908391
568.063845,268,447.518123
-20.286755,232,448.096483
-56.253765,239,448.674054
-53.597777,195,449.048479
-9.788276,257,449.659135
542.142681,261,450.283162
640.197411,272,450.900248
-7.119191,252,451.564118
22.206924,240,452.148872
528.861013,266,452.760265
-157.844451,183,453.297407
-195.952314,181,453.642442
604.119023,267,454.252527
568.880164,264,454.864043
29.060211,259,455.467853
632.771597,274,456.084043
637.740596,274,456.697552
-20.60071,221,457.269165
620.691606,276,457.889948
653.346801,277,458.693178
-144.680773,183,459.046217
-23.493811,207,459.603779
-127.765896,185,459.954639
-167.687043,182,460.301484
-13.136769,217,461.332544
49.971674,262,461.934486
628.671128,273,462.546476
595.701024,273,463.159716
457.179311,263,463.761154
-118.582819,200,464.318314
-188.279701,185,464.865463
531.961944,269,465.479832
562.195195,275,466.099215
560.096224,274,466.726094
566.124661,277,467.344497
481.034983,268,467.957442
-83.926438,217,468.52584
38.883828,271,469.140468
-113.495812,257,469.739043
-174.110121,191,470.093105
-207.800128,181,470.628746
-120.580315,202,470.991806
459.014709,265,471.789231
598.052819,280,472.407486
-147.277614,198,472.766045
-187.838265,194,473.314759
595.015917,293,473.941527
459.366091,265,474.555429
-48.895648,237,475.174456
-133.540918,248,475.76774
538.801802,280,476.391769
-68.357722,238,476.971436
-133.269806,230,477.623533
508.077644,274,478.240421
-93.80116,230,478.821786
2.132191,275,479.442504
-127.718933,215,480.007087
-131.054247,212,480.380358
-135.391704,224,480.961069
533.753375,282,481.583594
587.703589,297,482.220693
594.458003,296,483.046231
607.446702,290,483.675201
-183.168436,202,484.231786
-154.787414,233,485.108484
